Team Owner,Year,Round,Team From,Swap Owner,Swap Option,Protections,Pick Number,Pick Pool,Rank
New York Knicks,2026,Second Round,,,,,55.0,,
New York Knicks,2027,Second Round,,,,,,,
New York Knicks,2027,Second Round,Washington Wizards,,,,,,
New York Knicks,2028,Second Round,Boston Celtics,,,46-60,,,
New York Knicks,2030,First Round,,,,,,,
New York Knicks,2032,First Round,,,,,,,
New York Knicks,2032,Second Round,,,,,,,
New York Knicks,2028,Second Round,,"Indiana Pacers, Phoenix Suns",,,,,
New York Knicks,2027,Second Round,,,,,,"OKC, HOU, IND, MIA",3rd most favorable
New York Knicks,2028,First Round,,,,,,"NYK, BRK, PHX",Least favorable (if NYK and/or PHL 9-30 less favorable than BRK/PHX); otherwise 2nd most favorable
Oklahoma City Thunder,2026,First Round,Los Angeles Clippers,,,,12.0,,
Oklahoma City Thunder,2026,First Round,Philadelphia Sixers,,,,17.0,,
Oklahoma City Thunder,2026,Second Round,Dallas Mavericks,,,,37.0,,
Oklahoma City Thunder,2027,First Round,San Antonio Spurs,,,17-30,,,
Oklahoma City Thunder,2028,First Round,,,Dallas Mavericks,,,,
Oklahoma City Thunder,2028,Second Round,Utah Jazz,,,,,,
Oklahoma City Thunder,2029,First Round,,,,,,,
Oklahoma City Thunder,2029,Second Round,,,,,,,
Oklahoma City Thunder,2029,Second Round,Boston Celtics,,,,,,
Oklahoma City Thunder,2030,First Round,,,,,,,
Oklahoma City Thunder,2030,Second Round,,,,,,,
Oklahoma City Thunder,2030,Second Round,Denver Nuggets,,,,,,
Oklahoma City Thunder,2030,Second Round,Houston Rockets,,,,,,
Oklahoma City Thunder,2030,Second Round,Miami Heat,,,,,,
Oklahoma City Thunder,2031,First Round,,,,,,,
Oklahoma City Thunder,2031,Second Round,,,,,,,
Oklahoma City Thunder,2032,First Round,,,,,,,
Oklahoma City Thunder,2032,Second Round,,,,,,,
Oklahoma City Thunder,2027,First Round,San Antonio Spurs,,,1-16 to Sacramento Kings,,,
Oklahoma City Thunder,2027,Second Round,Sacramento Kings,,,if SAN 1-16 in 2027,,,
Oklahoma City Thunder,2028,First Round,Denver Nuggets,,,6-30 if not already settled,,,
Oklahoma City Thunder,2029,First Round,Denver Nuggets,,,6-30 if not already settled,,,
Oklahoma City Thunder,2029,Second Round,Denver Nuggets,,,if DEN has not conveyed a first potential 1st round pick to OKC by 2029,,,
Oklahoma City Thunder,2030,First Round,Denver Nuggets,,,6-30 if not already settled and if DEN has conveyed a first potential 1st round pick to OKC by 2028,,,
Oklahoma City Thunder,2029,Second Round,,"Atlanta Hawks, Miami Heat",,,,,
Oklahoma City Thunder,2031,Second Round,,"New Orleans Pelicans, Orlando Magic",,,,,
Oklahoma City Thunder,2027,First Round,,,,,,"OKC, DEN 6-30, LAC",Two most / more favorable
Oklahoma City Thunder,2027,Second Round,,,,,,"CHA, SAN",Conditional: if SAN 1-16 in 2027
Orlando Magic,2026,Second Round,,,,,46.0,,
Orlando Magic,2027,First Round,,,,,,,
Orlando Magic,2030,Second Round,,,New Orleans Pelicans,,,,
Orlando Magic,2030,Second Round,Milwaukee Bucks,,,,,,
Orlando Magic,2031,First Round,,,,,,,
Orlando Magic,2032,First Round,,,,,,,
Orlando Magic,2032,Second Round,,,,,,,
Orlando Magic,2029,First Round,,Memphis Grizzlies,,1-2,,,
Orlando Magic,2028,Second Round,,,"Los Angeles Lakers, Washington Wizards",,,,
Orlando Magic,2031,Second Round,,,,,,"ORL, NOP",More favorable
Philadelphia Sixers,2026,First Round,Houston Rockets,,,,22.0,,
Philadelphia Sixers,2027,First Round,,,,,,,
Philadelphia Sixers,2027,Second Round,,,,,,,
Philadelphia Sixers,2028,First Round,Los Angeles Clippers,,,,,,
Philadelphia Sixers,2028,Second Round,Detroit Pistons,,,56-60,,,
Philadelphia Sixers,2028,Second Round,Golden State Warriors,,,,,,
Philadelphia Sixers,2028,Second Round,Milwaukee Bucks,,,,,,
Philadelphia Sixers,2028,Second Round,Oklahoma City Thunder,,,,,,
Philadelphia Sixers,2029,First Round,,,Los Angeles Clippers,1-3,,,
Philadelphia Sixers,2029,Second Round,,,,,,,
Philadelphia Sixers,2030,First Round,,,,,,,
Philadelphia Sixers,2030,Second Round,Washington Wizards,,,,,,
Philadelphia Sixers,2031,First Round,,,,,,,
Philadelphia Sixers,2031,Second Round,,,,,,,
Philadelphia Sixers,2032,First Round,,,,,,,
Philadelphia Sixers,2032,Second Round,,Memphis Grizzlies,,,,,
Philadelphia Sixers,2027,Second Round,,,"Golden State Warriors, Phoenix Suns",,,,
Philadelphia Sixers,2030,Second Round,,,"Phoenix Suns, Portland Trail Blazers",,,,
Phoenix Suns,2026,Second Round,Philadelphia Sixers,,,,47.0,,
Phoenix Suns,2029,Second Round,,,,,,,
Phoenix Suns,2032,First Round,,,,Frozen through 2027-28,,,
Phoenix Suns,2027,First Round,,"Utah Jazz, Cleveland Cavaliers, Minnesota Timberwolves",,,,,
Phoenix Suns,2030,First Round,,"Washington Wizards, Memphis Grizzlies",,,,,
Phoenix Suns,2028,First Round,,,,,,"PHX, PHL 9-30, WAS, BRK",Least favorable
Phoenix Suns,2032,Second Round,,,,,,"PHX, HOU",Less favorable
Portland Trail Blazers,2027,First Round,,,,,,,
Portland Trail Blazers,2027,Second Round,Minnesota Timberwolves,,,,,,
Portland Trail Blazers,2028,First Round,,,Milwaukee Bucks,,,,
Portland Trail Blazers,2028,First Round,Orlando Magic,,,,,,
Portland Trail Blazers,2028,Second Round,,,,,,,
Portland Trail Blazers,2028,Second Round,Sacramento Kings,,,,,,
Portland Trail Blazers,2030,First Round,,,Milwaukee Bucks,,,,
Portland Trail Blazers,2031,First Round,,,,,,,
Portland Trail Blazers,2031,Second Round,,,,,,,
Portland Trail Blazers,2032,First Round,,,,,,,
Portland Trail Blazers,2032,Second Round,,,,,,,
Portland Trail Blazers,2029,Second Round,,"Indiana Pacers, Washington Wizards",,,,,
Portland Trail Blazers,2027,Second Round,,,,,,"POR, NOP",Less favorable
Portland Trail Blazers,2029,First Round,,,,,,"POR, BOS, MIL",Most and Least favorable
Sacramento Kings,2026,First Round,,,,,7.0,,
Sacramento Kings,2026,Second Round,,,,,34.0,,
Sacramento Kings,2026,Second Round,Charlotte Hornets,,,,45.0,,
Sacramento Kings,2027,First Round,,,,,,,
Sacramento Kings,2027,First Round,San Antonio Spurs,,,1-16,,,
Sacramento Kings,2028,First Round,,,,,,,
